,date,state,positive,probableCases,negative,pending,totalTestResultsSource,totalTestResults,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20201204,TX,1228812,,9882224.0,,posNeg,11111036,9015.0,,2645.0,,,,1012700.0,A,12/4/2020 16:30,2020-12-04T16:30:00Z,12/04 11:30,22255.0,,2020-12-04T16:30:00Z,11111036.0,,,1228812,,,,,583553.0,62869.0,,,,,,,710943.0,59737.0,48,13699,79890,11111036,93589,11111036,255,0,2a6741684b0793da52834d6cd04d8499985af381,0,0,0,0,0,
1,20201203,TX,1215113,,9802334.0,,posNeg,11017447,9151.0,,2623.0,,,,1003141.0,A,12/3/2020 18:25,2020-12-03T18:25:00Z,12/03 13:25,22000.0,,2020-12-03T18:25:00Z,11017447.0,,,1215113,,,,,578670.0,62140.0,,,,,,,686194.0,57330.0,48,14439,70462,11017447,84901,11017447,244,0,809b1288e43efdb1f19e665c4c50fbc6d15dd0dc,0,0,0,0,0,
2,20201202,TX,1200674,,9731872.0,,posNeg,10932546,9109.0,,2544.0,,,,993151.0,A,12/2/2020 17:45,2020-12-02T17:45:00Z,12/02 12:45,21756.0,,2020-12-02T17:45:00Z,10932546.0,,,1200674,,,,,575536.0,61488.0,,,,,,,682029.0,56878.0,48,16424,45920,10932546,62344,10932546,207,0,b5531c6a96f964b0c84c785b2e6d1a4b6cf1650d,0,0,0,0,0,
3,20201201,TX,1184250,,9685952.0,,posNeg,10870202,9047.0,,2583.0,,,,976517.0,A,12/1/2020 17:40,2020-12-01T17:40:00Z,12/01 12:40,21549.0,,2020-12-01T17:40:00Z,10870202.0,,,1184250,,,,,573566.0,61129.0,,,,,,,635013.0,54253.0,48,16139,92304,10870202,108443,10870202,170,0,d73ca5f75b0addcc253bda60d3e8c3c844572584,0,0,0,0,0,
4,20201130,TX,1168111,,9593648.0,,posNeg,10761759,8900.0,,2536.0,,,,962639.0,A,11/30/2020 17:40,2020-11-30T17:40:00Z,11/30 12:40,21379.0,,2020-11-30T17:40:00Z,10761759.0,,,1168111,,,,,571451.0,60825.0,,,,,,,624708.0,52625.0,48,10838,47244,10761759,58082,10761759,22,0,e0605526d322f2f1564cb528cd4ae16421556d1c,0,0,0,0,0,
5,20201129,TX,1157273,,9546404.0,,posNeg,10703677,8634.0,,2487.0,,,,954465.0,A,11/29/2020 15:10,2020-11-29T15:10:00Z,11/29 10:10,21357.0,,2020-11-29T15:10:00Z,10703677.0,,,1157273,,,,,570888.0,60759.0,,,,,,,622415.0,52529.0,48,6204,60624,10703677,66828,10703677,48,0,7b45bd86fce29cb7669fc5ebfc533d9032ec5494,0,0,0,0,0,
6,20201128,TX,1151069,,9485780.0,,posNeg,10636849,8597.0,,2427.0,,,,950586.0,A,11/28/2020 15:35,2020-11-28T15:35:00Z,11/28 10:35,21309.0,,2020-11-28T15:35:00Z,10636849.0,,,1151069,,,,,569242.0,60487.0,,,,,,,618165.0,52106.0,48,4024,134266,10636849,138290,10636849,102,0,fcb9764ff3e33dcfac4abe21d6e997809bcf9b3e,0,0,0,0,0,
7,20201127,TX,1147045,,9351514.0,,posNeg,10498559,8518.0,,2449.0,,,,946663.0,A,11/27/2020 15:10,2020-11-27T15:10:00Z,11/27 10:10,21207.0,,2020-11-27T15:10:00Z,10498559.0,,,1147045,,,,,563123.0,59679.0,,,,,,,598680.0,50637.0,48,3429,108936,10498559,112365,10498559,51,0,0a952d9617af05654958a196ad96a0a55800b9b4,0,0,0,0,0,
8,20201126,TX,1143616,,9242578.0,,posNeg,10386194,8706.0,,2444.0,,,,943457.0,A,11/26/2020 15:15,2020-11-26T15:15:00Z,11/26 10:15,21156.0,,2020-11-26T15:15:00Z,10386194.0,,,1143616,,,,,560010.0,59031.0,,,,,,,586938.0,49436.0,48,12636,53716,10386194,66352,10386194,206,0,f929c0b5ca469f3bd79cf85761792ea17e663259,0,0,0,0,0,
9,20201125,TX,1130980,,9188862.0,,posNeg,10319842,8585.0,,2356.0,,,,935011.0,A,11/25/2020 16:45,2020-11-25T16:45:00Z,11/25 11:45,20950.0,,2020-11-25T16:45:00Z,10319842.0,,,1130980,,,,,556284.0,58350.0,,,,,,,580108.0,48922.0,48,15609,63830,10319842,79439,10319842,200,0,9bd684c384011c81158b2c47f0847cc09c7f5b27,0,0,0,0,0,
